"gene11924g" 1 449 448
"gene11806g" 450 894 444
"gene11637g" 895 1036 141
"gene11514g" 1037 1245 208
"gene12061g" 1246 1426 180
"gene11911g" 1427 1723 296
"gene12071g" 1724 2198 474
"gene11552g" 2199 2338 139
"gene11639g" 2339 2498 159
"gene11874g" 2499 2801 302
"gene11983g" 2802 3073 271
"gene11635g" 3074 3174 100
"gene11965g" 3175 3313 138
"gene12121g" 3314 3459 145
"gene11580g" 3460 3750 290
"gene11910g" 3751 4010 259
"gene11928g" 4011 4232 221
"gene11587g" 4233 4370 137
"gene11735g" 4371 4752 381
"gene11380g" 4753 5137 384
"gene11711g" 5138 5349 211
"gene11707g" 5350 5537 187
"gene11375g" 5538 5619 81
"gene11411g" 5620 6234 614
"gene11847g" 6235 6490 255
"gene11849g" 6491 6688 197
"gene11754g" 6689 6836 147
"gene11919g" 6837 6944 107
"gene11846g" 6945 7424 479
"gene11563g" 7425 7777 352
"gene11609g" 7778 8190 412
"gene11798g" 8191 8340 149
"gene12081g" 8341 8709 368
"gene11362g" 8710 8837 127
"gene11710g" 8838 8949 111
"gene11750g" 8950 9158 208
"gene11391g" 9159 9418 259
"gene11829g" 9419 9928 509
"gene11681g" 9929 10345 416
"gene11366g" 10346 10751 405
"gene11547g" 10752 11560 808
"gene11451g" 11561 11745 184
"gene11394g" 11746 12125 379
"gene11460g" 12126 12542 416
"gene11454g" 12543 12946 403
"gene11844g" 12947 13163 216
"gene11619g" 13164 13339 175
"gene11958g" 13340 13425 85
"gene11484g" 13426 13840 414
"gene11591g" 13841 13908 67
"gene11899g" 13909 14208 299
"gene11617g" 14209 14696 487
"gene12040g" 14697 14834 137
"gene11984g" 14835 15107 272
"gene11386g" 15108 15414 306
"gene11642g" 15415 15811 396
"gene11511g" 15812 16130 318
"gene11917g" 16131 16324 193
"gene12029g" 16325 16622 297
"gene11773g" 16623 16861 238
"gene11618g" 16862 17069 207
"gene11760g" 17070 17258 188
"gene11778g" 17259 17379 120
"gene11379g" 17380 17895 515
"gene12024g" 17896 18309 413
"gene11902g" 18310 18684 374
"gene11762g" 18685 19127 442
"gene11759g" 19128 19646 518
"gene11649g" 19647 19909 262
"gene12035g" 19910 20259 349
"gene11450g" 20260 20649 389
"gene12019g" 20650 21045 395
"gene12047g" 21046 21282 236
"gene11534g" 21283 21528 245
"gene12122g" 21529 21720 191
"gene12074g" 21721 21884 163
"gene11695g" 21885 22044 159
"gene11624g" 22045 22443 398
"gene12115g" 22444 22752 308
"gene11848g" 22753 22981 228
"gene11660g" 22982 23300 318
"gene11499g" 23301 23508 207
"gene11992g" 23509 23927 418
"gene11393g" 23928 24162 234
"gene12012g" 24163 24629 466
"gene11893g" 24630 24930 300
"gene11442g" 24931 25135 204
"gene11869g" 25136 25344 208
"gene11437g" 25345 25593 248
"gene12033g" 25594 25968 374
"gene11491g" 25969 26111 142
"gene11383g" 26112 26278 166
"gene12097g" 26279 26828 549
"gene11428g" 26829 27065 236
"gene11820g" 27066 27321 255
"gene12123g" 27322 27423 101
"gene11652g" 27424 27783 359
"gene11378g" 27784 28130 346
"gene11634g" 28131 28674 543
"gene11567g" 28675 28912 237
"gene11555g" 28913 29277 364
"gene12054g" 29278 29550 272
"gene11802g" 29551 29945 394
"gene11645g" 29946 30521 575
"gene11385g" 30522 30975 453
"gene11793g" 30976 31167 191
"gene11912g" 31168 31302 134
"gene11976g" 31303 31545 242
"gene12120g" 31546 31875 329
"gene11583g" 31876 32389 513
"gene11855g" 32390 32644 254
"gene11962g" 32645 33035 390
"gene11627g" 33036 33470 434
"gene11772g" 33471 33770 299
"gene11584g" 33771 33973 202
"gene11350g" 33974 34109 135
"gene11663g" 34110 34264 154
"gene11932g" 34265 34709 444
"gene11868g" 34710 35311 601
"gene11603g" 35312 35623 311
"gene11429g" 35624 35899 275
"gene11577g" 35900 36127 227
"gene12093g" 36128 36307 179
"gene11814g" 36308 36548 240
"gene11377g" 36549 36738 189
"gene11479g" 36739 36854 115
"gene12046g" 36855 37145 290
"gene12112g" 37146 37400 254
"gene11841g" 37401 37476 75
